1000 3400
30:0.030878 36:0.034079 50:0.033118 59:0.032279 68:0.030887 156:0.030234 228:0.034465 290:0.053702 317:0.051554 334:0.039365 349:0.030984 453:0.033394 488:0.045377 517:0.048195 537:0.121068 555:0.032846 557:0.033500 602:0.071196 663:0.069703 745:0.033823 746:0.034270 749:0.058753 752:0.037603 769:0.104429 777:0.121043 877:0.031150 969:0.063215 991:0.030027 1042:0.032642 1084:0.030339 1171:0.065878 1194:0.050198 1212:0.034542 1276:0.033551 1449:0.037942 1555:0.035030 1557:0.038039 1558:0.045384 1560:0.043514 1577:0.036363 1584:0.033657 1615:0.033857 1616:0.048214 1627:0.039372 1746:0.029381 1752:0.031539 1768:0.045217 1773:0.045053 1787:0.076115 1816:0.044996 1817:0.044954 1827:0.055214 1955:0.034598 2047:0.035746 2110:0.051009 2158:0.126956 2257:0.031390 2260:0.103191 2261:0.207604 2262:0.107258 2281:0.040492 2284:0.033176 2384:0.031256 2449:0.333372 2450:0.041908 2481:0.030065 2593:0.037814 2611:0.043513 2633:0.045020 2649:0.050115 2683:0.039607 2685:0.328956 2714:0.031325 2775:0.032932 2814:0.032442 2818:0.038893 2892:0.055558 2902:0.032614 2904:0.031446 2960:0.058527 3013:0.029744 3020:0.038410 3035:0.078499 3054:0.034085 3060:0.196401 3065:0.253584 3068:0.165367 3069:0.063100 3070:0.074947 3071:0.181212 3090:0.058306 3110:0.030953 3124:0.036448 3158:0.045669 3184:0.036454 3278:0.044592 3279:0.116647 3321:0.198119 3327:0.993019 3331:0.030479
19:0.020717 58:0.020816 59:0.022281 65:0.020005 67:0.030559 185:0.121235 197:0.034312 268:0.030685 284:0.026954 290:0.057707 291:0.021903 385:0.019259 416:0.042344 438:0.020138 466:0.020241 481:0.024341 489:0.071053 490:0.020138 497:0.062463 537:0.025638 618:0.025886 745:0.019372 746:0.020990 825:0.060574 896:0.036511 953:0.019669 994:0.022403 1099:0.183846 1101:0.185656 1152:0.030693 1205:0.020446 1212:0.019518 1257:0.019307 1330:0.023675 1376:0.416492 1377:0.026638 1379:0.026296 1417:0.022629 1432:0.020701 1437:0.022606 1445:0.019693 1471:0.019601 1563:0.019305 1594:0.030759 1627:0.034125 1693:0.019707 1694:0.030533 1697:0.019472 1742:0.027250 1755:0.020031 1781:0.030710 1830:0.095556 1884:0.041100 1893:0.026497 1905:0.022025 1951:0.021699 1967:0.041315 2085:0.021362 2151:0.026952 2186:0.023364 2232:0.025128 2247:0.019589 2315:0.024192 2417:0.025935 2438:0.021131 2527:0.019389 2578:0.020039 2584:0.022728 2637:0.019274 2649:0.020062 2654:0.019428 2671:0.127888 2672:0.057529 2685:0.112371 2714:0.020278 2716:0.021864 2788:0.026832 2861:0.022098 2942:0.021329 2951:0.019866 3000:0.020431 3073:0.023327 3075:0.019618 3078:0.019721 3079:0.020887 3124:0.021106 3128:0.024297 3174:0.061647 3201:0.020345 3207:0.020556 3217:0.022522 3230:0.021138 3276:0.022066 3312:0.022737 3321:0.555455 3327:0.615106 3351:0.020371 3358:0.019573 3361:0.021321 3373:0.027925
59:0.023042 133:0.029802 228:0.020873 266:0.020993 270:0.019491 291:0.021147 293:0.059487 411:0.025399 463:0.024523 465:0.021154 466:0.025483 489:0.021012 490:0.019733 499:0.020703 555:0.021339 563:0.032622 590:0.023842 594:0.019533 640:0.022854 704:0.032103 707:0.020625 748:0.021006 749:0.048042 782:0.027375 812:0.038698 826:0.033583 844:0.019718 859:0.020220 861:0.033050 921:0.020338 969:0.022993 991:0.020673 1011:0.021548 1130:0.019879 1131:0.019991 1155:0.020009 1195:0.019512 1211:0.027651 1253:0.019680 1377:0.022821 1416:0.020111 1437:0.025136 1481:0.021366 1494:0.072109 1496:0.047431 1511:0.022145 1563:0.020022 1627:0.044724 1647:0.020464 1684:0.020528 1693:0.020734 1694:0.025063 1726:0.021311 1729:0.019561 1810:0.048763 1922:0.036597 1958:0.030185 1984:0.020440 1994:0.026778 2026:0.038540 2040:0.019507 2042:0.028005 2151:0.114292 2163:0.020580 2260:0.019737 2281:0.020527 2315:0.032040 2365:0.022709 2397:0.019582 2424:0.020631 2486:0.022935 2537:0.019958 2578:0.026705 2584:0.021039 2611:0.025256 2639:0.029724 2684:0.021298 2685:0.231682 2688:0.056046 2739:0.019673 2788:0.027136 2984:0.021332 2996:0.022092 2998:0.020399 3075:0.024649 3078:0.023767 3079:0.020556 3099:0.027141 3110:0.019568 3118:0.025012 3128:0.020914 3168:0.037124 3201:0.036089 3230:0.024935 3236:0.019466 3278:0.021125 3321:0.957685 3327:0.432286 3361:0.021545 3373:0.020032
30:0.047090 36:0.028073 50:0.025110 59:0.025392 119:0.022021 145:0.026542 266:0.023067 268:0.047859 290:0.067503 291:0.027256 317:0.027732 366:0.025690 417:0.022390 423:0.022793 549:0.022368 696:0.030023 745:0.025355 746:0.044774 749:0.037671 777:0.022688 780:0.034424 794:0.027074 884:0.023282 927:0.022672 929:0.025854 934:0.025404 968:0.027510 969:0.025498 994:0.032608 1042:0.029089 1055:0.033432 1152:0.026233 1175:0.035949 1194:0.029952 1240:0.025908 1365:0.021894 1416:0.024313 1417:0.024078 1481:0.022282 1584:0.060183 1647:0.039537 1685:0.024116 1746:0.030727 1752:0.031246 1773:0.024175 1781:0.026128 1787:0.214208 1802:0.025511 1816:0.030232 1824:0.045561 1827:0.026850 1884:0.024221 1964:0.032585 2026:0.025710 2047:0.025838 2083:0.025517 2090:0.031009 2170:0.023953 2257:0.029988 2260:0.373208 2261:0.271268 2262:0.096386 2327:0.024722 2372:0.026653 2384:0.023213 2419:0.022161 2438:0.023972 2449:0.023510 2526:0.023469 2537:0.022380 2549:0.025449 2573:0.022036 2578:0.021848 2649:0.024941 2683:0.040994 2685:0.063736 2688:0.021781 2710:0.031985 2748:0.027882 2749:0.024455 2767:0.021720 2774:0.026430 2820:0.021931 2857:0.022627 2903:0.022780 2936:0.024654 2984:0.026893 3054:0.022667 3060:0.038279 3065:0.038329 3096:0.038180 3142:0.022210 3158:0.021839 3297:0.045531 3298:0.036681 3318:0.022232 3321:0.164098 3327:0.971291 3331:0.026529 3352:0.026416
19:0.022409 30:0.040434 49:0.019842 54:0.022639 58:0.024310 59:0.024574 67:0.022307 110:0.019692 125:0.019781 177:0.020490 268:0.030597 269:0.022472 291:0.021727 293:0.025773 317:0.020309 531:0.028399 594:0.025537 632:0.019791 635:0.146941 745:0.023422 746:0.023592 798:0.020851 831:0.021897 832:0.026243 860:0.021491 861:0.029479 877:0.021158 969:0.087386 970:0.030082 971:0.025770 994:0.019665 1135:0.021019 1194:0.031824 1197:0.045645 1202:0.035578 1215:0.119711 1257:0.024330 1376:0.029685 1377:0.019920 1379:0.020961 1417:0.025911 1437:0.020498 1448:0.020280 1512:0.056700 1554:0.081759 1557:0.019606 1559:0.021150 1594:0.056934 1637:0.020627 1643:0.038118 1655:0.023724 1697:0.020282 1746:0.023893 1755:0.021983 1826:0.019983 1876:0.019569 1882:0.025548 1884:0.059901 2028:0.030546 2029:0.020579 2030:0.026789 2033:0.027481 2064:0.019780 2069:0.188525 2070:0.083080 2090:0.028184 2252:0.020870 2281:0.026153 2297:0.019729 2424:0.028153 2438:0.020819 2484:0.255690 2547:0.027216 2548:0.024719 2562:0.020945 2564:0.048252 2578:0.034888 2584:0.022453 2681:0.049195 2685:0.094239 2710:0.023015 2714:0.022804 2716:0.035889 2738:0.022909 2785:0.021397 2788:0.133304 2861:0.019900 2984:0.021132 2996:0.020057 3022:0.025828 3023:0.021305 3065:0.022658 3078:0.020760 3099:0.020062 3124:0.021944 3217:0.019697 3290:0.033192 3321:0.162920 3327:0.611120 3342:0.021254
7:0.021243 19:0.021650 65:0.032554 158:0.020166 204:0.022841 284:0.027771 290:0.040210 317:0.074578 465:0.022452 466:0.021528 551:0.019562 616:0.020515 745:0.021309 749:0.024641 789:0.022203 815:0.019832 832:0.020719 859:0.023053 860:0.019794 861:0.020398 877:0.019379 896:0.024228 902:0.020463 921:0.022659 969:0.028136 970:0.040297 1011:0.021085 1130:0.026859 1157:0.019452 1194:0.019664 1197:0.019952 1211:0.020293 1240:0.020919 1257:0.019433 1377:0.020481 1381:0.021370 1416:0.020555 1449:0.024134 1477:0.028033 1481:0.021049 1531:0.019937 1545:0.022096 1557:0.022650 1558:0.032438 1563:0.023723 1627:0.066309 1643:0.019427 1647:0.020181 1674:0.021778 1694:0.034231 1781:0.158885 1795:0.032470 1815:0.026517 1853:0.035145 1884:0.020656 1953:0.034240 1954:0.028757 1958:0.023497 1984:0.019409 2033:0.022079 2047:0.031149 2082:0.020152 2085:0.027476 2111:0.019388 2151:0.019777 2152:0.026394 2281:0.025677 2424:0.020118 2462:0.043545 2534:0.019903 2564:0.028281 2578:0.022063 2584:0.022904 2663:0.020294 2685:0.069607 2710:0.019489 2739:0.020493 2861:0.033894 2898:0.044646 2911:0.024749 2984:0.021794 2996:0.045814 2998:0.021616 3065:0.099040 3073:0.024280 3078:0.021266 3099:0.019523 3116:0.020168 3123:0.019349 3124:0.020260 3128:0.034224 3136:0.020112 3174:0.021996 3210:0.024659 3217:0.027553 3242:0.020522 3321:0.691454 3327:0.999568 3340:0.027365 3363:0.036415
30:0.047868 50:0.030265 107:0.024342 110:0.027044 151:0.035626 152:0.055259 158:0.044953 290:0.096323 291:0.031119 341:0.062243 344:0.068600 352:0.030085 438:0.060710 452:0.030446 453:0.030983 455:0.034917 465:0.041765 483:0.063772 486:0.026615 491:0.067270 537:0.189105 539:0.024903 576:0.027042 630:0.065274 749:0.035832 751:0.033549 752:0.026101 826:0.033301 834:0.024355 877:0.026368 896:0.028758 969:0.031938 994:0.038821 1011:0.048013 1141:0.037856 1152:0.041656 1194:0.039213 1200:0.031410 1207:0.023543 1212:0.023467 1417:0.039811 1437:0.057493 1449:0.027693 1532:0.834412 1569:0.045658 1609:0.037325 1627:0.178603 1694:0.040695 1742:0.023750 1746:0.043503 1773:0.027985 1781:0.061529 1787:0.108938 1810:0.024067 1827:0.035212 1853:0.024585 1884:0.039927 1949:0.038768 1967:0.040044 1970:0.045937 2033:0.025186 2047:0.028998 2267:0.024217 2271:0.043854 2300:0.033166 2417:0.513735 2421:0.039351 2562:0.024674 2616:0.031492 2639:0.050918 2649:0.032974 2685:0.203074 2710:0.040109 2759:0.024583 2788:0.040977 2797:0.054740 2814:0.087368 2815:0.091810 2827:0.026303 2838:0.038363 2851:0.066717 2898:0.028318 2911:0.023651 2964:0.050254 3052:0.026054 3060:0.049031 3065:0.261879 3091:0.032410 3128:0.023658 3136:0.029882 3172:0.043719 3242:0.057579 3297:0.086262 3298:0.110370 3307:0.036823 3321:0.576148 3327:0.579423 3340:0.025554 3363:0.035231 3369:0.023594
59:0.021642 65:0.019779 269:0.023854 284:0.020329 336:0.023835 374:0.022494 386:0.081798 433:0.021476 444:0.019299 463:0.020185 465:0.019316 483:0.152759 489:0.020821 491:0.024333 499:0.019082 505:0.095496 631:0.019128 635:0.157536 676:0.019525 797:0.086685 806:0.020427 826:0.364018 859:0.019182 896:0.029768 899:0.020040 969:0.033174 1011:0.020879 1105:0.184955 1106:0.305014 1194:0.022840 1210:0.221185 1376:0.027844 1377:0.023115 1379:0.021763 1381:0.020551 1400:0.019743 1416:0.023635 1417:0.020470 1437:0.175713 1445:0.019369 1477:0.020103 1594:0.307471 1599:0.021773 1604:0.087824 1607:0.022634 1694:0.022582 1742:0.023243 1758:0.022803 1781:0.322065 1877:0.019108 1884:0.044826 1905:0.038810 1922:0.021433 1967:0.027518 1976:0.020137 2002:0.029897 2064:0.019301 2069:0.019224 2095:0.033965 2098:0.032776 2106:0.123721 2126:0.022642 2203:0.019152 2248:0.028720 2281:0.019450 2315:0.020524 2438:0.021442 2457:0.019060 2483:0.027631 2584:0.019176 2602:0.159342 2603:0.022584 2637:0.022420 2649:0.022734 2654:0.166981 2685:0.353199 2696:0.036354 2710:0.035804 2714:0.021514 2716:0.019851 2788:0.370814 2860:0.020743 2911:0.023263 2948:0.092174 3073:0.021325 3075:0.020380 3078:0.023462 3090:0.019534 3110:0.025774 3118:0.020371 3128:0.032233 3230:0.022092 3271:0.029964 3278:0.019589 3321:0.523364 3327:0.973769 3333:0.026607 3361:0.033340 3369:0.020094 3373:0.023720
110:0.036668 131:0.033905 155:0.047070 211:0.225857 212:0.049802 214:0.034281 362:0.040690 430:0.040295 453:0.033454 536:0.053637 562:0.033310 584:0.032196 585:0.045406 590:0.036462 666:0.037187 667:0.033009 669:0.043488 670:0.049472 674:0.034957 676:0.034227 749:0.068280 784:0.032541 800:0.034210 804:0.035290 805:0.271751 837:0.036336 842:0.094476 846:0.043723 896:0.103587 943:0.031840 955:0.033606 979:0.031702 981:0.031745 1141:0.047218 1163:0.046822 1164:0.034060 1188:0.033355 1300:0.039020 1419:0.042949 1480:0.032880 1496:0.194146 1503:0.037547 1516:0.035621 1535:0.514230 1618:0.051329 1627:0.514217 1638:0.052114 1725:0.031531 1742:0.044394 1746:0.039562 1756:0.047486 1786:0.044077 1912:0.146922 1913:0.034435 1922:0.045587 1928:0.098214 1941:0.033082 1963:0.031512 1967:0.122545 1970:0.062794 2315:0.032175 2317:0.032252 2366:0.050348 2367:0.068943 2506:0.051418 2507:0.250941 2518:0.032463 2539:0.043162 2541:0.033264 2630:0.037385 2651:0.038072 2661:0.032643 2685:0.376025 2708:0.035596 2710:0.079185 2716:0.049149 2733:0.077115 2785:0.065260 2898:0.033181 2908:0.037659 2967:0.090565 2968:0.113683 3014:0.032050 3073:0.040604 3089:0.038046 3148:0.045525 3168:0.100404 3174:0.036769 3176:0.046199 3207:0.038781 3209:0.051685 3212:0.123455 3224:0.382667 3225:0.673688 3232:0.043437 3260:0.032187 3280:0.031863 3321:0.156735 3327:0.821354 3367:0.034104
15:0.037196 56:0.026703 57:0.027261 67:0.037626 86:0.029438 106:0.073361 111:0.042745 119:0.026710 190:0.051276 191:0.099033 218:0.098636 244:0.032487 284:0.055687 390:0.043811 391:0.042808 490:0.034966 554:0.026550 568:0.025371 620:0.031824 744:0.044826 745:0.025324 746:0.025660 759:0.034570 787:0.024926 815:0.031747 826:0.043466 859:0.028412 861:0.030205 877:0.033492 883:0.035406 969:0.039920 970:0.025828 1008:0.025670 1046:0.027697 1054:0.031439 1057:0.025153 1141:0.134076 1152:0.025412 1264:0.027659 1344:0.128342 1409:0.045032 1410:0.042359 1420:0.037271 1439:0.030254 1468:0.025842 1481:0.036268 1498:0.060507 1547:0.032364 1748:0.025284 1755:0.027486 1899:0.030471 1922:0.055772 1966:0.029652 2000:0.026123 2009:0.036366 2020:0.031312 2067:0.025759 2071:0.944785 2073:0.894232 2075:0.217834 2153:0.028023 2161:0.049708 2247:0.027541 2267:0.045445 2273:0.051769 2298:0.025385 2305:0.085535 2349:0.031021 2417:0.039995 2419:0.027695 2462:0.056339 2498:0.043238 2552:0.567797 2557:0.037812 2559:0.028378 2637:0.076465 2638:0.036556 2649:0.040528 2663:0.032289 2680:0.053703 2685:0.157046 2710:0.102523 2782:0.032424 2788:0.157800 2927:0.027446 2966:0.038197 2970:0.611433 2971:0.044287 2976:0.042930 3095:0.025775 3096:0.224786 3099:0.049843 3194:0.025539 3242:0.038104 3246:0.032457 3270:0.035499 3321:0.182416 3327:0.771359 3369:0.032577 3399:0.025454
2:0.028289 30:0.029519 58:0.026019 65:0.023417 79:0.025972 133:0.027367 138:0.024421 204:0.026229 235:0.033548 284:0.157175 341:0.039746 362:0.024477 387:0.024718 483:0.038478 491:0.193816 582:0.037946 583:0.038667 630:0.023699 640:0.024943 657:0.025202 736:0.253397 737:0.541640 826:0.061235 865:0.047236 891:0.026236 896:0.039360 952:0.025442 969:0.026869 994:0.028704 1077:0.027302 1078:0.023870 1090:0.023121 1096:0.026267 1258:0.023562 1261:0.027071 1290:0.024619 1301:0.024384 1318:0.026198 1319:0.027114 1330:0.047696 1335:0.028303 1350:0.029509 1428:0.023816 1437:0.050571 1445:0.047803 1530:0.033123 1531:0.024978 1544:0.029611 1609:0.026397 1650:0.027914 1674:0.023714 1675:0.028099 1707:0.058014 1708:0.025619 1714:0.026884 1746:0.027419 1758:0.032322 1781:0.024469 1810:0.029457 1877:0.025173 1970:0.028264 1976:0.063696 2056:0.023962 2090:0.042139 2186:0.024544 2201:0.027729 2281:0.028792 2294:0.024351 2315:0.030713 2548:0.025547 2578:0.035099 2609:0.026118 2637:0.025196 2685:0.128298 2710:0.052826 2787:0.027551 2798:0.027891 2803:0.029190 2849:0.043381 2898:0.028046 2927:0.023253 2972:0.025354 2979:0.023597 2982:0.027054 3062:0.023953 3083:0.029263 3091:0.046957 3143:0.025455 3187:0.029128 3220:0.023089 3321:0.323996 3327:0.819431 3333:0.024388 3336:0.024536 3342:0.023177 3354:0.027112 3371:0.024606 3372:0.033456 3373:0.060985 3374:0.038833
